pp_id,ca_id,supply_pf_id,pp_eff,erg_max,discharge_duration,st_lss_rt,st_lss_hr,factor_lin_0,factor_lin_1,cap_avlb,vc_ramp,vc_om,cap_pwr_leg,cap_pwr_leg_yr2020,cap_pwr_leg_yr2025,cap_pwr_leg_yr2030,cap_pwr_leg_yr2035,cap_pwr_leg_yr2040,cap_pwr_leg_yr2045,cap_pwr_leg_yr2050,erg_chp,erg_chp_yr2020,erg_chp_yr2025,erg_chp_yr2030,erg_chp_yr2035,erg_chp_yr2040,erg_chp_yr2045,erg_chp_yr2050,cap_pwr_leg_old
8,0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.2,4199.86902283289,5334.37379280553,5381.64039603292,5408.64988359143,5455.95868914313,5503.18309004621,5577.45918083211,5651.73527161801,,,,,,,,,4157.78
2,0,,1.0,,1011.54541521031,0.0,0.0,0.0,0.0,1.0,0.2,2.0,7635.72144687751,9698.34824703942,9784.2829783423,9833.3885390868,9919.39999782835,10005.2580016926,10140.29829374,10275.3385857873,,,,,,,,,7559.2
60,0,,1.0,,20.3625377643505,0.25,0.0,0.0,0.0,1.0,0.1,1.5,1917.516406843,2435.49244329492,2457.07275608361,2469.40436339143,2491.00394431654,2512.56498896881,2546.47690906532,2580.38882916183,,,,,,,,,1898.3
6,0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.2,5448.80533372408,5698.26771192029,5698.26771192029,5700.1679848774,5738.89071895137,5752.19099708415,5752.19099708415,5819.04695481949,,,,,,,,,5656.0
1,0,,1.0,,504.030419461607,0.0,0.0,0.0,0.0,1.0,0.2,2.0,3846.20572532144,4022.29636694008,4022.29636694008,4023.637732667,4050.97135763129,4060.35976532243,4060.35976532243,4107.55208577881,,,,,,,,,3992.46041105121
58,0,,1.0,,3.49909015403424,0.29993400791905,0.0,0.0,0.0,1.0,0.1,1.5,3853.98894095448,4030.43592113963,4030.43592113963,4031.780001266,4059.16893879345,4068.57634494872,4068.57634494872,4115.8641641986,,,,,,,,,4000.53958894879
7,0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.2,5228.09617785304,5311.77418784893,5311.77418784893,5348.63293219566,5423.71801196742,5483.95997716687,5513.94117347477,5531.95451893184,,,,,,,,,5203.3
3,0,,1.0,,583.18866945645,0.0,0.0,0.0,0.0,1.0,0.2,2.0,13283.903822147,13496.5186247443,13496.5186247443,13590.1718396528,13780.9531382815,13934.0200376925,14010.198308841,14055.967847202,,,,,,,,,13220.9
59,0,,1.0,,5.74257425742574,0.249854481955765,0.0,0.0,0.0,1.0,0.1,1.5,3795.9,3795.9,3795.9,3795.9,3795.9,3795.9,3795.9,3795.9,,,,,,,,,3795.9
9,0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.2,10381.0428484447,10381.0525506381,10381.0525506381,10381.0525506381,10518.1000803526,10884.129152472,11271.3938419832,11665.4507956414,,,,,,,,,10322.333333
4,0,,1.0,,424.872169466764,0.0,0.0,0.0,0.0,1.0,0.2,2.0,8260.71811540141,8260.72583592483,8260.72583592483,8260.72583592483,8369.78145084824,8661.04920024141,8969.21519886069,9282.78614381371,,,,,,,,,8214.0
61,0,,1.0,,20.3625377643505,0.27866203441868,0.0,0.0,0.0,1.0,0.1,1.5,4993.23903615388,4993.2437028691,4993.2437028691,4993.2437028691,5059.1630026128,5235.22148517149,5421.49421260571,5611.03399123875,,,,,,,,,4965.0
69,0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0
71,0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0
70,0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0
67,0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0
68,0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0
74,0,,1.0,,2.0,0.1,0.0,0.0,0.0,1.0,0.1,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0
76,0,,1.0,,2.0,0.1,0.0,0.0,0.0,1.0,0.1,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0
75,0,,1.0,,2.0,0.1,0.0,0.0,0.0,1.0,0.1,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0
72,0,,1.0,,2.0,0.1,0.0,0.0,0.0,1.0,0.1,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0
73,0,,1.0,,2.0,0.1,0.0,0.0,0.0,1.0,0.1,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0
